name,count
Generalelection,52
Politics,57
UKnews,52
UKsecurityandcounter-terrorism,7
Counter-terrorismpolicy,6
BorisJohnson,11
DianeAbbott,7
Labour,27
Conservatives,25
JeremyCorbyn,20
TheresaMay,17
DonaldTrump,7
SadiqKhan,4
SayeedaWarsi,3
PaulNuttall,3
KeziaDugdale,3
Welshpolitics,3
Scottishpolitics,3
London,5
Radio,6
BBC,8
YvetteCooper,3
Police,6
Tuitionfees,2
Cambridge,2
Students,3
UniversityofCambridge,2
LiberalDemocrats,13
Highereducation,2
Education,2
TimFarron,8
EUreferendumandBrexit,10
Media,5
Manifestos,7
UKIndependenceparty,3
Ukip,3
Greenparty,3
Opinionpolls,4
Voterapathy,2
Taxandspending,4
Economicpolicy,2
Norwich,1
Article,1
LondonBridgeattacks,4
Society,3
EuropeanUnion,4
Foreignpolicy,3
Socialcare,1
Trident,1
NHS,1
Nuclearweapons,1
Leaders'debates,3
Defencepolicy,1
Health,1
BernieSanders,1
Europe,2
Parisclimateagreement,2
AmberRudd,2
Youngpeople,2
USnews,1
Worldnews,1
AlanPartridge,1
