name,count
DianeAbbott,6
Labour,35
Generalelection,57
UKnews,99
Politics,61
Humanrights,8
HumanRightsAct,6
TheresaMay,23
JeremyCorbyn,18
Conservatives,33
KeirStarmer,6
UKsecurityandcounter-terrorism,11
LondonBridgeattack,13
ManchesterArenaattack,8
Police,7
Counter-terrorismpolicy,6
Law,8
MiddleEastandNorthAfrica,7
Worldnews,49
Australianews,9
USnews,20
Russia,10
Europe,15
Technology,7
Business,18
Money,8
Science,7
Society,28
China,8
AsiaPacific,8
Culture,29
Opinionpolls,6
EUreferendumandBrexit,9
Health,16
LiberalDemocrats,9
Greenparty,9
Books,6
Poverty,6
Environment,18
Lifeandstyle,13
Artanddesign,12
EuropeanUnion,6
Film,6
Music,7
Sport,11
FrenchOpen,8
Education,7
Banking,6
Art,8
SouthandCentralAsia,6
Photography,10
