name,count
TheresaMay,201
NickClegg,22
JeremyCorbyn,140
LabourParty,167
Generalelection,255
Brexit,92
Politics,324
ConservativeParty,201
MI,12
BorisJohnson,51
Terrorism,47
Terrorattacks,20
NHS,99
Hospitals,31
Publicservices,24
BBC,32
Cabinet,8
VictoriaDerbyshire,8
AndrewMitchell,8
GeorgeOsborne,12
Minimumwage,20
Carcrashes,8
Radio,8
DianeAbbott,8
JohnMcDonnell,8
EuropeanUnion,44
DonaldTrump,23
AngelaMerkel,8
SadiqKhan,23
MiddleEast,19
Civilwar,8
Climatechange,27
VAT,12
Marriage,8
Tax,59
LiberalDemocrats,103
TimFarron,28
PaulNuttall,8
Referendum,20
GreenParty,44
UKIP,32
Generalelectionpolls,18
Armedforces,8
Inheritancetax,16
GeorgeOrwell,27
AusterityBritain,27
Bedroomtax,23
Banks,27
Soldiers,15
Givingbirth,15
Mentalhealth,71
Crime,19
Nurseries,15
Bullying,15
Disability,19
Homelessness,31
Welfarecuts,23
Nato,11
GoodMorningBritain,7
Pensionsstrike,12
Childcare,20
Tuitionfees,28
Syria,16
Humanrights,12
Secondaryschool,8
Theeconomy,28
DavidCameron,32
Immigration,12
Education,12
Schools,8
Energybills,8
Foreignaid,12
LondonBridgeterrorattack,16
HouseofCommons,6
Houseprices,8
Foxhunting,8
SNP,22
Benefits,16
TaxCredits,16
Grammarschools,8
Junkfood,8
Housingbenefit,12
RoadtoWiganPier,24
Epilepsy,8
NationalInsuranceCompanyLtd,8
UniversalCredit,8
ZacGoldsmith,12
LiamFox,12
