name,count
TheresaMay,212
Generalelection,312
Politics,358
LabourParty,189
GreenParty,76
UKIP,64
LiberalDemocrats,154
ConservativeParty,228
Generalelectionpolls,21
JeremyCorbyn,158
EuropeanUnion,40
Brexit,84
SNP,27
Tax,48
Foreignaid,20
Minimumwage,24
Tuitionfees,32
Theeconomy,40
Benefits,24
TaxCredits,24
Grammarschools,12
Terrorattacks,28
NicolaSturgeon,24
ToryGovernment,8
NHS,88
BBC,24
DianeAbbott,8
Humanrights,36
EuropeanConventiononHumanRights,12
Terrorism,32
NickClegg,28
TimFarron,52
BorisJohnson,44
PaulNuttall,28
Referendum,39
AusterityBritain,20
GeorgeOrwell,20
Bedroomtax,20
Banks,28
Hospitals,34
Soldiers,8
Givingbirth,14
Mentalhealth,52
Crime,20
Nurseries,8
Bullying,8
Disability,12
Homelessness,16
Welfarecuts,16
Pensionsstrike,12
Childcare,24
VAT,12
UnitedNations,8
Nato,8
NigelFarage,12
MiddleEast,16
Syria,16
Publicservices,24
Secondaryschool,16
Paternityrights,8
Hatecrime,8
EuropeanCommunities,8
DavidCameron,20
HS,8
Immigration,16
Article,8
Education,20
Schools,16
Climatechange,12
Energybills,12
Retirementage,8
Statepension,8
Sexeducation,8
Inheritancetax,16
BenElton,8
MaxinePeake,8
SteveCoogan,12
JohnMcDonnell,12
MargaretThatcher,8
AlanPartridge,16
CleanBandit,8
GregKnight,8
DonaldTrump,16
EDFEnergy,8
HouseofCommons,7
Foxhunting,8
Junkfood,12
Housingbenefit,16
MI,8
NationalInsuranceCompanyLtd,12
UniversalCredit,8
PlaidCymru,8
HalifaxInc,8
HollyLynch,8
NataschaEngel,8
DanielZeichner,8
AlbertOwen,8
PeterKyle,8
WesStreeting,8
JohnWoodcock,8
ChrisMatheson,8
LizPhillips,8
StephenMosley,8
RobMarris,8
MadeleineMoon,8
DavidWinnick,8
IanLucas,8
JoanRyan,8
EstherMcVey,8
PaulFarrelly,8
RoadtoWiganPier,20
N,6
H,6
S,6
